stable_nodes_name;occurence;inputs
IL10R1_IL10R2_IL10_complex;1;
IL10RA_IL10RB_complex_Fibroblast__Cytoplasmic_membrane_up;1;
IL10RA_IL10RB_complex_TH1___cytoplasmic_membrane_up;1;
IL10RA_IL10RB_IL10_complex;1;
IL11;1;
IL11_IL11Ra_IL6ST_complex;1;
IL11Ra_IL6ST_IL11_complex;1;
IL12_M1_macrophage___Extracellular_Space;1;
IL12_M1_macrophage___Secreted_components;1;
IL12_rna;1;
IL12_TH1___extracellular_space;1;
IL12_TH1___secreted_components;1;
IL12A;1;
IL12B;1;
IL12RB_complex;1;
IL12RB_IL12_complex;1;
IL12Rb1_IL12Rb2_complex;1;
IL12Rb1_IL12Rb2_IL12_complex;1;
IL15_M1_macrophage___Secreted_components;1;
IL15_M2_macrophage__secreted_components;1;
IL17A_Fibroblast___Extracellular_Space;1;
IL17A_Fibroblast___secreted_components;1;
IL17A_IL17RA_complex;1;
IL17F;1;
IL17Ra_IL17Rc_IL17F_complex;1;
IL18_Fibroblast___Extracellular_Space;1;
IL18_Fibroblast___secreted_components;1;
IL18_IL18R_complex;1;
IL18_IL18R1_complex;1;
IL18_IL18R1_IL18RAP_complex;1;
IL18_M1_macrophage___Cytoplasm;1;
IL18_M1_macrophage___Extracellular_Space;1;
IL18_M1_macrophage___Secreted_components;1;
IL18_M2_macrophage__cytoplasm;1;
IL18_M2_macrophage__cytoplasm_active;1;
IL18_TH1___extracellular_space;1;
IL18_TH1___secreted_components;1;
IL18R1_IL18RAP_complex;1;
IL1A;1;
IL1A_IL1R1_complex;1;
IL1B_Fibroblast___Extracellular_Space;1;
IL1B_Fibroblast___secreted_components;1;
IL1B_IL1R1_complex;1;
IL1B_M1_macrophage___Cytoplasm;1;
IL1B_M1_macrophage___Extracellular_Space;1;
IL1B_M1_macrophage___Secreted_components;1;
IL1B_M2_macrophage__cytoplasm;1;
IL1R1;1;
IL1RN_rna;1;
IL2;0,5;
IL23_M1_macrophage___Extracellular_Space;1;
IL23_M1_macrophage___Secreted_components;1;
IL23_M2_macrophage__extracellular_space;1;
IL23_M2_macrophage__secreted_components;1;
IL23R_IL12RB1_complex_M1_macrophage__Cytoplasmic_membrane_up;1;
IL23R_IL12RB1_complex_M2_macrophage__cytoplasmic_membrane_up;1;
IL23R_IL12RB1_IL23_complex_M1_macrophage__Cytoplasmic_membrane_up;1;
IL23R_IL12RB1_IL23_complex_M2_macrophage__cytoplasmic_membrane_up;1;
IL26;1;
IL27;1;
IL27_IL27RA_complex;1;
IL32_rna;1;
IL33_rna;1;
IL34_Fibroblast___secreted_components;1;
IL34_M2_macrophage__extracellular_space;1;
IL4;1;
IL4_IL4Ra_complex;1;
IL4_rna;1;
IL4R;1;
IL6_Fibroblast___Extracellular_Space;1;
IL6_Fibroblast___secreted_components;1;
IL6_IL6R_complex;1;
IL6_IL6R_IL6ST_complex;1;
IL6_IL6ST_complex;1;
IL6_M1_macrophage___Extracellular_Space;1;
IL6_M1_macrophage___Secreted_components;1;
IL7_Fibroblast___secreted_components;1;
IL7_IL7R_IL2RG_complex;1;
IL7_TH1___extracellular_space;1;
IL7R_IL2RG_complex;1;
IL8_M1_macrophage___Extracellular_Space;1;
IL8_M1_macrophage___Secreted_components;1;
IL8_M2_macrophage__extracellular_space;1;
IL8_M2_macrophage__secreted_components;1;
IL9R_IL2RG_IL9_complex;1;
immune_complex_CD16a_complex;1;
immune_complex_CD32a_complex;1;
immune_complex_CD32B_complex;1;
immune_complex_CD64_complex;1;
immune_complex_complex;1;
inflammation_signal_phenotype;1;
INHBA;1;
INHBB_Fibroblast___secreted_components;1;
INHBB_M1_macrophage___Extracellular_Space;1;
INPP5A;1;
IP3_simple_molecule;1;
IRAK1_Fibroblast___Cytoplasm;1;
IRAK1_Fibroblast___Cytoplasm_active;1;
IRAK1_IRAK4_complex;1;
IRAK1_IRAK4_complex_M1_macrophage___Cytoplasm;1;
IRAK1_IRAK4_complex_TH1___cytoplasm;1;
IRAK1_M1_macrophage___Cytoplasm;1;
IRAK3;1;
IRAK4_Fibroblast___Cytoplasm;1;
IRAK4_Fibroblast___Cytoplasm_active;1;
IRAK4_phosphorylated;1;
IRF1_Fibroblast___Cytoplasm;1;
IRF1_Fibroblast___nucleus;1;
IRF3_phosphorylated_Fibroblast___nucleus;1;
IRF3_phosphorylated_M1_macrophage___nucleus;1;
IRF5_Fibroblast___Cytoplasm;1;
IRF5_Fibroblast___nucleus;1;
IRF5_ubiquitinated;1;
IRF7_M1_macrophage___nucleus;1;
IRF7_M2_macrophage_nucleus;1;
IRF7_TH1___cytoplasm;1;
IRF7_TH1___cytoplasm_active;1;
IRF9_Fibroblast___Cytoplasm;1;
IRF9_M1_macrophage___Cytoplasm;1;
ISGF3_complex;1;
ITCH_phosphorylated_M1_macrophage___Cytoplasm;0;
ITCH_phosphorylated_M2_macrophage__cytoplasm;0;
ITGA4_ITGB1_col4a3_complex;1;
ITGA4_ITGB1_complex;1;
ITGA4_ITGB1_sema7a_complex;1;
ITGA4_ITGB7_complex;1;
ITGA5_ITGB1_col4a5_complex;1;
ITGA5_ITGB1_complex;1;
ITGAL_ITGB2_complex;1;
ITGAM_ITGB2_complex;1;
ITGB1_ITGA1_col4a_complex_M1_macrophage__Cytoplasmic_membrane_up;1;
ITGB1_ITGA1_col4a_complex_M2_macrophage__cytoplasmic_membrane_up;1;
ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up;1;
ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up;1;
jag1;1;
JAG1_M1_macrophage__Cytoplasmic_membrane_down;1;
JAG1_M2_macrophage__cytoplasmic_membrane_down;1;
JAG1_NOTCH1_complex;1;
JAG1_NOTCH3_complex;1;
JAG1_rna;1;
JAK1_Fibroblast___Cytoplasm;0;
JAK1_JAK2_complex_M1_macrophage___Cytoplasm;1;
JAK1_JAK2_complex_TH1___cytoplasm;1;
JAK1_JAK2_TYK2_complex;1;
JAK1_JAK3_complex;1;
JAK1_M1_macrophage___Cytoplasm;1;
JAK1_M2_macrophage__cytoplasm;1;
JAK1_TYK2_complex_M1_macrophage___Cytoplasm;1;
JAK1_TYK2_complex_M2_macrophage__cytoplasm;1;
JAK1_TYK2_complex_TH1___cytoplasm;1;
JAK2_Fibroblast___Cytoplasm;0;
JAK2_M1_macrophage___Cytoplasm;1;
JAK2_M2_macrophage__cytoplasm;1;
JAK2_TYK2_complex_M1_macrophage___Cytoplasm;1;
JAK2_TYK2_complex_TH1___cytoplasm;1;
JAK3;0;
JNK1_phosphorylated_M1_macrophage___Cytoplasm;1;
JNK1_phosphorylated_M1_macrophage___nucleus;1;
JNK1_phosphorylated_M2_macrophage_nucleus;1;
JUN_phosphorylated;1;
JUNB;1;
klf4;1;
KRAS;1;
LAG3;1;
LAT_phosphorylated;0;
LBP_CD14_complex;1;
LCK_phosphorylated;0,5;
LGALS9_Fibroblast___secreted_components;1;
LGALS9_M1_macrophage___Secreted_components;1;
LGALS9_TH1___extracellular_space;1;
LGALS9_TIM3_complex;0;
LIFR_IL6ST_CTF1_complex;1;
LTA_Fibroblast___secreted_components;1;
LTA_M1_macrophage___Secreted_components;1;
LTA_TH1___extracellular_space;1;
LTA_TH1___secreted_components;1;
LTA_TNFRSF14_complex;1;
LTBP1;0;
LY96;1;
LY96_TLR2_4_complex;1;
lyn;1;
maf_rna;0;
MAML1;1;
MAP2K1_phosphorylated_Fibroblast___Cytoplasm;1;
MAP2K1_phosphorylated_TH1___cytoplasm;1;
MAP2K3_phosphorylated;1;
MAP2K4_phosphorylated;1;
MAP2K6_phosphorylated;1;
MAP2K7_phosphorylated;1;
MAP3K1_phosphorylated;1;
MAP3K14_phosphorylated;1;
MAP3K2_3_4;0,5;
map3k5;1;
MAP3K5_phosphorylated;1;
MAP3K7_phosphorylated;1;
MAP3K7_rna;1;
MAP3K8_phosphorylated;1;
MAP4K4_phosphorylated;1;
MAPK1_empty;0;
MAPK1_phosphorylated_Fibroblast___Cytoplasm;0;
MAPK1_phosphorylated_TH1___cytoplasm;1;
MAPK14_phosphorylated;1;
MAPK3_complex;0,5;
MAPK3_phosphorylated;1;
MAPK8;1;
MAPK8_phosphorylated;0,5;
MAPK9_phosphorylated;1;
MAPKAPK2_phosphorylated;1;
Matrix_degradation_signal_phenotype;1;
MCL1;1;
mcl1;0;
Mcl1_rna_M1_macrophage___nucleus;1;
Mcl1_rna_M2_macrophage_nucleus;0;
MDM2;1;
MDM2_phosphorylated_Fibroblast___Cytoplasm;1;
MDM2_phosphorylated_M1_macrophage___Cytoplasm;0;
MDM2_phosphorylated_M2_macrophage__cytoplasm;0;
MEK1_phosphorylated_M1_macrophage___Cytoplasm;1;
MEK1_phosphorylated_M2_macrophage__cytoplasm;1;
MEK2_phosphorylated_M1_macrophage___Cytoplasm;1;
MEK2_phosphorylated_M2_macrophage__cytoplasm;1;
MEKK1_M1_macrophage___Cytoplasm;0,5;
MEKK1_M2_macrophage__cytoplasm;0;
MIF_CD74_complex;1;
MIF_CXCR4_complex;1;
MIF_Fibroblast___Extracellular_Space;1;
MIF_Fibroblast___secreted_components;1;
MIF_M2_macrophage__secreted_components;1;
MIF_TH1___extracellular_space;1;
MIF_TH1___secreted_components;1;
MIR10a_rna;0;
MIR124A_rna;0;
MIR146A_rna;0;
MIR155_rna;1;
MIR192_rna;0;
MIR203A_rna;1;
MIR221_rna;1;
MIR338_5P_rna;0,5;
MIR346_rna;1;
MIR34A_rna;0;
MIR451A_rna;0;
MIR650_rna;0;
MK2_phosphorylated_M1_macrophage___nucleus;1;
MK2_phosphorylated_M2_macrophage_nucleus;1;
MKK3_phosphorylated_M1_macrophage___Cytoplasm;1;
MKK3_phosphorylated_M2_macrophage__cytoplasm;1;
MKK4_phosphorylated_M1_macrophage___Cytoplasm;1;
MKK4_phosphorylated_M2_macrophage__cytoplasm;1;
MKK6_phosphorylated_M1_macrophage___Cytoplasm;1;
MKK6_phosphorylated_M2_macrophage__cytoplasm;1;
MKK7_phosphorylated_M1_macrophage___Cytoplasm;1;
MKK7_phosphorylated_M2_macrophage__cytoplasm;1;
MMP1;1;
MMP13;1;
MMP14_M1_macrophage___Secreted_components;1;
MMP14_M2_macrophage__secreted_components;1;
MMP3_Fibroblast___secreted_components;1;
MMP3_M1_macrophage___Secreted_components;1;
MMP3_M2_macrophage__secreted_components;1;
MMP9_Fibroblast___secreted_components;1;
MMP9_M1_macrophage___Secreted_components;1;
MMP9_M2_macrophage__secreted_components;1;
MSK1_phosphorylated;0;
mtor;1;
MYD88_Fibroblast___Cytoplasm;1;
MYD88_M1_macrophage___Cytoplasm;1;
MYD88_TH1___cytoplasm;1;
MYD88_TIRAP_TOLLIP_complex;1;
NCID_Fibroblast___nucleus;1;
NCID_M1_macrophage___Cytoplasm;1;
ncid_rbpj_snw1_complex;1;
NECTIN3_PTPRC_NECTIN1_complex;1;
NFAT;1;
NFAT5;1;
NFAT5_phosphorylated_Fibroblast___nucleus;1;
NFAT5_phosphorylated_M2_macrophage_nucleus;1;
NFKB_complex;1;
NFKB_N_complex;1;
NFKB1_Fibroblast___Cytoplasm;1;
NFKB1_M1_macrophage___Cytoplasm;1;
NFKB1_M2_macrophage__cytoplasm;1;
NFKB1_MAP3K8_complex;1;
NFKB1_RELA_complex_TH1___cytoplasm;1;
NFKB1_RELA_complex_TH1___nucleus;1;
NFKB1_RELA_NFKBIA_complex;1;
NFKB1_TPL2_complex_M1_macrophage___Cytoplasm;1;
NFKB1_TPL2_complex_M2_macrophage__cytoplasm;1;
NFKB2_RELB_complex;1;
NFKBIA_phosphorylated_Fibroblast___Cytoplasm;1;
NFKBIA_phosphorylated_M1_macrophage___Cytoplasm;1;
NFKBIA_phosphorylated_M2_macrophage__cytoplasm;1;
NFKBIA_phosphorylated_TH1___cytoplasm;1;
NFKBIA_RELA_NFKB1_complex_M1_macrophage___Cytoplasm;1;
NFKBIA_RELA_NFKB1_complex_M2_macrophage__cytoplasm;1;
NFKBIA_rna;1;
NFKBIE_Fibroblast___Cytoplasm;0,25;
NFKBIE_M1_macrophage___Cytoplasm;1;
NFKBIE_M2_macrophage__cytoplasm;1;
ngef;1;
NICD_CSL_SKIP_MAML1_ep300_complex;1;
NICD_EP300_SKIP_CSL_MAML1_complex;1;
NICD_M1_macrophage___nucleus;1;
NICD_TH1___nucleus;1;
NIK_M1_macrophage___Cytoplasm;1;
NIK_TH1___cytoplasm;1;
NLK_phosphorylated;1;
NLRP3_INFLAMMASOME_complex_M1_macrophage___Cytoplasm;1;
NLRP3_INFLAMMASOME_complex_M2_macrophage__cytoplasm;1;
NLRP3_M1_macrophage___Cytoplasm;1;
NLRP3_M2_macrophage__cytoplasm;1;
NOD2;0;
NOS2;1;
NOS2_phosphorylated;0;
NOTCH1;1;
notch1_JAG1_complex;1;
notch3;1;
NRAS;0;
OPN_M1_macrophage___Cytoplasm;0;
OPN_M2_macrophage__cytoplasm;0;
osteoclastogenesis_M1_macrophage_phenotype;1;
osteoclastogenesis_signal_phenotype;1;
p15_rna_M1_macrophage___nucleus;0;
p15_rna_M2_macrophage_nucleus;1;
p21_rna;1;
p300_SP1_complex_M1_macrophage___nucleus;0;
p300_SP1_complex_M2_macrophage_nucleus;0;
p38_MAP_KINASE_phosphorylated_M1_macrophage___Cytoplasm;0;
p38_MAP_KINASE_phosphorylated_M1_macrophage___nucleus;0;
p38_MAP_KINASE_phosphorylated_M2_macrophage__cytoplasm;0;
p38MAPK_empty;1;
p38MAPK_phosphorylated;0;
p53;1;
p53_phosphorylated_M1_macrophage___Cytoplasm;1;
p53_phosphorylated_M2_macrophage__cytoplasm;1;
p53_phosphorylated_M2_macrophage_nucleus;1;
PDCD1;1;
PDE4B;1;
PDGFC_Fibroblast___Extracellular_Space;1;
PDGFC_M2_macrophage__secreted_components;1;
PDGFC_PDGFRB_complex;1;
PDIA3_HLA_A_B2M_complex;1;
PI3_4_5_P__3_simple_molecule;0,5;
PI3K_M1_macrophage___Cytoplasm;0;
PI3K_M2_macrophage__cytoplasm;0;
PI3K_phosphorylated;1;
PI4_5_P__2_simple_molecule;1;
PIK3AP1_phosphorylated_M1_macrophage___Cytoplasm;0;
PIK3AP1_phosphorylated_M2_macrophage__cytoplasm;0;
PIK3R5_phosphorylated;1;
PIP2_simple_molecule;1;
PITPNM3_CCL18_complex;1;
PLA2G2A_phosphorylated;1;
PLCG1;1;
PLCG2;1;
PLXNA1;1;
PLXNA1_sema3A_complex;1;
PLXNB1;1;
PLXNB1_MET_complex;1;
PLXNB1_MET_sema4a_complex;1;
PLXNB2_MET_complex;1;
PMAIP1_Fibroblast___Cytoplasm;1;
PMAIP1_Fibroblast___Cytoplasm_active;1;
POU2F1;0,5;
PP2A;0;
PP4;1;
PPARg_rna;1;
PRKACA;1;
PRKCD;1;
Prkcd_M1_macrophage___Cytoplasm;1;
Prkcd_M2_macrophage__cytoplasm;1;
PRKCQ_Fibroblast___Cytoplasm;0,5;
PRKCQ_M1_macrophage___Cytoplasm;1;
PRKCQ_M2_macrophage__cytoplasm;1;
PRKCQ_TH1___cytoplasm;1;
PRKG1_Fibroblast___Cytoplasm;1;
PRKG1_M1_macrophage___Cytoplasm;1;
PRKG1_M2_macrophage__cytoplasm;1;
PRL_Fibroblast___secreted_components;1;
PRL_M2_macrophage__extracellular_space;1;
PRL_PRLR_complex;1;
proliferation_survival_fibroblast_phenotype;1;
proliferation_survival_M1_macrophage_phenotype;1;
proliferation_survival_M2_macrophage_phenotype;0;
proliferation_survival_TH1_phenotype;1;
PTEN;0,5;
PTGS2_rna;1;
PTK2_M1_macrophage___Cytoplasm;1;
PTK2_M2_macrophage__cytoplasm;1;
PTK2_TH1___cytoplasm;1;
PTK2B_phosphorylated;1;
PTPN11_phosphorylated;1;
PTPN6_Fibroblast___Cytoplasm;0,5;
PTPN6_M1_macrophage___Cytoplasm;1;
PTPN6_M2_macrophage__cytoplasm;1;
pyk2_phosphorylated;1;
RAB5A;1;
RAC1_2;1;
Rac1_M1_macrophage___Cytoplasm;1;
Rac1_M2_macrophage__cytoplasm;1;
Rac1_TH1___cytoplasm;0;
RAF1_Fibroblast___Cytoplasm;0,5;
RAF1_M1_macrophage___Cytoplasm;1;
RAF1_M2_macrophage__cytoplasm;1;
RAF1_TH1___cytoplasm;1;
RANK_RANKL_complex;1;
rasa1;1;
RBL1_E2F4_DP1_complex;0;
rbpj;1;
RDX;1;
RELA_NFKB1_complex_M1_macrophage___Cytoplasm;1;
RELA_NFKB1_complex_M1_macrophage___nucleus;1;
RELA_NFKB1_complex_M2_macrophage__cytoplasm;1;
RELA_NFKB1_complex_M2_macrophage_nucleus;1;
RELA_NFKB1_NFKBIE_complex_Fibroblast___Cytoplasm;1;
RELA_NFKB1_NFKBIE_complex_M1_macrophage___Cytoplasm;1;
RELA_NFKB1_NFKBIE_complex_M2_macrophage__cytoplasm;1;
RHOA_Fibroblast___Cytoplasm;0;
RHOA_M1_macrophage___Cytoplasm;0;
RHOA_M2_macrophage__cytoplasm;0;
RHOA_TH1___cytoplasm;1;
RIPK1;1;
RIPK1_TRAF6_complex;1;
RIPK3;0;
RPS6KA4;1;
RPS6KB1_phosphorylated;1;
RUNX1;0;
RUNX3;1;
RXRa_NUR77_complex_M1_macrophage___Cytoplasm;1;
RXRa_NUR77_complex_M2_macrophage__cytoplasm;1;
SARA_M1_macrophage___Cytoplasm;0;
SARA_M2_macrophage__cytoplasm;0;
SARM1;0;
sema3A;1;
SEMA4_PLXNB1_complex;1;
SEMA4_PLXNB2_MET_complex;1;
SEMA4A_Fibroblast___Extracellular_Space;1;
SEMA4A_M1_macrophage___Secreted_components;1;
SEMA4A_M2_macrophage__extracellular_space;1;
SEMA4A_M2_macrophage__secreted_components;1;
SEMA4A_TH1___extracellular_space;1;
SEMA4A_TH1___secreted_components;1;
SEMA4D_Fibroblast___secreted_components;1;
SEMA4D_M2_macrophage__extracellular_space;1;
SEMA4D_TH1___extracellular_space;1;
sema7a_Fibroblast___Extracellular_Space;1;
sema7a_M2_macrophage__secreted_components;1;
SERPINE1_rna;1;
SH2D1A_Fibroblast___Cytoplasm;0,5;
SH2D1A_M2_macrophage__cytoplasm;1;
SH2D1A_TH1___cytoplasm;1;
Shc_phosphorylated;1;
SHC1_phosphorylated;1;
SHC2_phosphorylated;1;
SHIP1_M2_macrophage__cytoplasm;1;
SHIP1_TH1___cytoplasm;0;
SHP2_GRB2_complex;1;
SHP2_GRB2_complex;1;
Sirt1_M1_macrophage___nucleus;0;
Sirt1_M2_macrophage__cytoplasm;0;
SKIP;1;
smad1_phosphorylated;0;
SMAD2_phosphorylated_M1_macrophage___Cytoplasm;0;
SMAD2_phosphorylated_M2_macrophage__cytoplasm;0;
SMAD2_SARA_complex_M1_macrophage___Cytoplasm;0;
SMAD2_SARA_complex_M2_macrophage__cytoplasm;0;
SMAD2_SMAD4_complex_M1_macrophage___nucleus;0;
SMAD2_SMAD4_complex_M2_macrophage_nucleus;0;
SMAD4_M1_macrophage___Cytoplasm;0;
SMAD4_M2_macrophage__cytoplasm;0;
smad4_smad1_complex;0;
SMAD7_Fibroblast___Cytoplasm;1;
SMAD7_M1_macrophage___Cytoplasm;1;
SMAD7_M2_macrophage__cytoplasm;1;
snw1;1;
SOCS3;1;
SOCS3_rna;1;
SOS1_Fibroblast___Cytoplasm;1;
SOS1_M1_macrophage___Cytoplasm;1;
SOS1_M2_macrophage__cytoplasm;1;
SOS1_TH1___cytoplasm;1;
Src_M1_macrophage___Cytoplasm;1;
Src_M2_macrophage__cytoplasm;1;
SRC_phosphorylated;1;
Src_TH1___cytoplasm;1;
sst;0;
sst_sstr_complex;0;
STAT1_Fibroblast___Cytoplasm;1;
STAT1_Fibroblast___nucleus;1;
STAT1_M1_macrophage___Cytoplasm;1;
STAT1_STAT1_complex_M1_macrophage___nucleus;1;
STAT1_STAT1_complex_TH1___nucleus;1;
STAT1_STAT2_complex;1;
STAT1_STAT2_IRF9_complex;1;
STAT1_TH1___cytoplasm;1;
STAT2_Fibroblast___Cytoplasm;1;
STAT2_M1_macrophage___Cytoplasm;1;
STAT3_Fibroblast___Cytoplasm;1;
STAT3_Fibroblast___nucleus;1;
STAT3_M1_macrophage___Cytoplasm;1;
STAT3_M2_macrophage__cytoplasm;1;
STAT3_STAT3_complex_M1_macrophage___nucleus;1;
STAT3_STAT3_complex_M2_macrophage_nucleus;1;
STAT4_M1_macrophage___Cytoplasm;1;
STAT4_STAT4_complex_M1_macrophage___nucleus;1;
STAT4_STAT4_complex_TH1___nucleus;1;
STAT4_TH1___cytoplasm;1;
STAT5_CRKL_complex;1;
STAT5_phosphorylated;1;
STAT6;1;
STAT6_STAT6_complex;1;
SYK_M1_macrophage___Cytoplasm;0;
SYK_M2_macrophage__cytoplasm;0;
Syk_phosphorylated;1;
TAB1;1;
TAB1_TAB2_complex;1;
TAB1_TAB2_TAK1_complex;1;
TAB1_TAB2_TRAF6_complex;1;
TAB2_phosphorylated;1;
TAK1;1;
TAK1_phosphorylated;1;
tBID;0;
TBK1;1;
TBK1_IKBKE_complex;1;
tbx21;1;
tbx21_phosphorylated;1;
TCF_LEF_Fibroblast___nucleus;1;
TCF_LEF_M2_macrophage_nucleus;1;
TCR_CD3_complex;1;
TGFb1;1;
TGFB1_Fibroblast___Extracellular_Space;1;
TGFB1_Fibroblast___Extracellular_Space_active;1;
TGFB1_M2_macrophage__extracellular_space;1;
TGFB1_M2_macrophage__secreted_components;1;
TGFB1_TGFBR1_complex;1;
TGFB1_TH1___secreted_components;1;
tgfb3;0;
TGFBR1_TGFBR2_complex;1;
TGFBR1_TGFBR2_TGFB1_complex;1;
THBS1_rna;0;
TICAM1;1;
TICAM1_TICAM2_complex;1;
TICAM2;1;
TIRAP;1;
TIRAP_MYD88_complex;1;
TLR1_TLR2_biglycan_complex;1;
TLR1_TLR2_complex;1;
TLR2_TLR6_biglycan_complex;1;
TLR2_TLR6_complex;1;
TLR3_dsRNA_complex;1;
TLR4_Md2_CD14_fibrinogen_complex;0;
TLR5_Fibroblast__Cytoplasmic_membrane_up;1;
TLR5_M1_macrophage__Cytoplasmic_membrane_up;0;
TLR7_TLR8_ssRNA_complex;1;
TLR9_DNA_complex;1;
TNF_Fibroblast___Extracellular_Space;1;
TNF_Fibroblast___secreted_components;1;
TNF_M1_macrophage___Extracellular_Space;1;
TNF_M1_macrophage___Secreted_components;1;
TNF_TH1___extracellular_space;1;
TNF_TNFRSF1A_B_complex;1;
TNF_TNFRSF1A_complex;1;
TNF_TNFRSF1B_complex;1;
TNFA;1;
TNFA_rna;1;
TNFAIP3_rna_M1_macrophage___nucleus;1;
TNFAIP3_rna_M2_macrophage_nucleus;1;
TNFRSF10A_rna;1;
TNFRSF10B_rna;1;
TNFSF11_Fibroblast___Extracellular_Space;1;
TNFSF11_Fibroblast___secreted_components;1;
TNFSF11_M1_macrophage___Extracellular_Space;1;
TNFSF11_TH1___secreted_components;1;
TNFSF11_TNFRSF11_complex;1;
TNFSF4;1;
TNFSF4_TNFRSF4_complex;1;
TP53_phosphorylated;1;
TP73_phosphorylated;0;
TPL2_M1_macrophage___Cytoplasm;1;
TPL2_M2_macrophage__cytoplasm;1;
TRADD_Fibroblast___Cytoplasm;1;
TRADD_M1_macrophage___Cytoplasm;1;
TRADD_TRAF2_RIP1_complex;1;
TRAF1_rna_Fibroblast___nucleus;1;
TRAF1_rna_M1_macrophage___nucleus;1;
TRAF1_rna_M2_macrophage_nucleus;1;
TRAF1_TRAF2_TRAF3_complex;1;
TRAF2;1;
TRAF2_RIP1_TRADD_TAK1_TAB1_TAB2_complex;1;
TRAF2_TRAF5_complex;1;
TRAF2_TRAF5_complex;1;
TRAF2_TRAF5_TRAF6_complex_TH1___cytoplasm;1;
TRAF2_TRAF5_TRAF6_complex_TH1___cytoplasm_active;1;
TRAF2_TRAF6_complex;1;
TRAF3_Fibroblast___Cytoplasm;1;
TRAF3_M1_macrophage___Cytoplasm;0;
TRAF3_TH1___cytoplasm;1;
TRAF3_TRAF6_complex;1;
TRAF3IP2_phosphorylated_Fibroblast___Cytoplasm;1;
TRAF3IP2_phosphorylated_M2_macrophage__cytoplasm;1;
TRAF6_ECSIT_MEKK1_TAB1_TAB2_TAK1_complex;0;
TRAF6_Fibroblast___Cytoplasm;1;
TRAF6_IRAK1_IRAK4_complex;0;
TRAF6_M1_macrophage___Cytoplasm;0;
TRAF6_phosphorylated_Fibroblast___Cytoplasm;1;
TRAF6_phosphorylated_TH1___cytoplasm;1;
TRAF6_TAB1_TAB2_TAK1_complex;0;
TRAF6_ubiquitinated_M1_macrophage___Cytoplasm;0;
TRAF6_ubiquitinated_M2_macrophage__cytoplasm;0;
TRAM1;0;
TRAM1_TRIF_complex;0;
TRIF;1;
TSC2_phosphorylated;0;
TSG6;1;
TXK;1;
TYK2;1;
UEV1A_UBC13_complex;0,5;
VAV1;0;
VAV1_2_3;1;
VCAM1_Fibroblast__Cytoplasmic_membrane_down;1;
VCAM1_ITGA4_ITGB7_complex;1;
VCAM1_TH1___cytoplasmic_membrane_down;1;
vcan;1;
vegfa;1;
VEGFa_Fibroblast___Extracellular_Space;1;
VEGFa_Fibroblast___secreted_components;1;
VEGFa_M2_macrophage__extracellular_space;1;
VEGFa_M2_macrophage__secreted_components;1;
VEGFA_rna;1;
Vegfa_rna_M1_macrophage___nucleus;1;
Vegfa_rna_M2_macrophage_nucleus;1;
VEGFA_VEGFR_complex;1;
Vegfb_M2_macrophage__extracellular_space;0;
Vegfb_M2_macrophage__secreted_components;0;
vegfc;1;
Vegfc_M2_macrophage__extracellular_space;1;
Vegfc_M2_macrophage__secreted_components;1;
Vegfc_rna;1;
vegfc_vegfr3_complex;1;
VegfR1;1;
VegfR1_Vegfa_complex;1;
VegfR1_vegfb_complex;0;
VegfR2_vegfc_complex;1;
WNT_FRIZZLED_complex;1;
WNT5A;1;
WNT5B;1;
WNT5B__rna;1;
WNT5B_FZD1_LRP5_complex;1;
WNT5B_gene;1;
XIAP_M1_macrophage___Cytoplasm;1;
XIAP_M2_macrophage__cytoplasm;1;
YAP1_phosphorylated;1;
YWHAQ;0;
YY1;1;
ZAP70;0;
ZC3H12A;0;
